Symbol,Date,Close
NEE,2012-09-04,67.190002
NEE,2012-09-05,67.150002
NEE,2012-09-06,67.410004
NEE,2012-09-07,67.650002
NEE,2012-09-10,67.940002
NEE,2012-09-11,67.739998
NEE,2012-09-12,67.110001
NEE,2012-09-13,68.699997
NEE,2012-09-14,67.790001
NEE,2012-09-17,67.550003
NEE,2012-09-18,67.410004
NEE,2012-09-19,67.510002
NEE,2012-09-20,68.050003
NEE,2012-09-21,68.629997
NEE,2012-09-24,69.489998
NEE,2012-09-25,69.589996
NEE,2012-09-26,69.949997
NEE,2012-09-27,70.139999
NEE,2012-09-28,70.330002
NEE,2012-10-01,70.150002
NEE,2012-10-02,70.57
NEE,2012-10-03,70.720001
NEE,2012-10-04,71.080002
NEE,2012-10-05,70.830002
NEE,2012-10-08,70.68
NEE,2012-10-09,70.309998
NEE,2012-10-10,69.889999
NEE,2012-10-11,69.849998
NEE,2012-10-12,69.370003
NEE,2012-10-15,69.660004
NEE,2012-10-16,70.489998
NEE,2012-10-17,71.779999
NEE,2012-10-18,72.050003
NEE,2012-10-19,71.720001
NEE,2012-10-22,71.660004
NEE,2012-10-23,70.760002
NEE,2012-10-24,69.529999
NEE,2012-10-25,69.739998
NEE,2012-10-26,69.519997
NEE,2012-10-31,70.059998
NEE,2012-11-01,69.870003
NEE,2012-11-02,69.730003
NEE,2012-11-05,69.610001
NEE,2012-11-06,69.150002
NEE,2012-11-07,68.050003
NEE,2012-11-08,67.610001
NEE,2012-11-09,67.379997
NEE,2012-11-12,66.790001
NEE,2012-11-13,67.099998
NEE,2012-11-14,66.690002
NEE,2012-11-15,66.489998
NEE,2012-11-16,67.349998
NEE,2012-11-19,67.709999
NEE,2012-11-20,67.709999
NEE,2012-11-21,67.25
NEE,2012-11-23,67.199997
NEE,2012-11-26,67.959999
NEE,2012-11-27,67.82
NEE,2012-11-28,67.410004
NEE,2012-11-29,68.110001
NEE,2012-11-30,68.709999
NEE,2012-12-03,68.290001
NEE,2012-12-04,67.910004
NEE,2012-12-05,69.18
NEE,2012-12-06,69.160004
NEE,2012-12-07,69.370003
NEE,2012-12-10,69.139999
NEE,2012-12-11,69.309998
NEE,2012-12-12,69.230003
NEE,2012-12-13,70.050003
NEE,2012-12-14,69.470001
NEE,2012-12-17,70.519997
NEE,2012-12-18,70.889999
NEE,2012-12-19,70.57
NEE,2012-12-20,70.589996
NEE,2012-12-21,69.959999
NEE,2012-12-24,69.919998
NEE,2012-12-26,69.110001
NEE,2012-12-27,69.209999
NEE,2012-12-28,68.25
NEE,2012-12-31,69.190002
NEE,2013-01-02,70.519997
NEE,2013-01-03,70.529999
NEE,2013-01-04,70.879997
NEE,2013-01-07,70.550003
NEE,2013-01-08,71.300003
NEE,2013-01-09,70.800003
NEE,2013-01-10,71.489998
NEE,2013-01-11,71.779999
NEE,2013-01-14,71.690002
NEE,2013-01-15,71.879997
NEE,2013-01-16,71.309998
NEE,2013-01-17,71.080002
NEE,2013-01-18,71.550003
