Symbol,Date,Close
PG,2012-09-04,67.400002
PG,2012-09-05,67.290001
PG,2012-09-06,68.239998
PG,2012-09-07,68.519997
PG,2012-09-10,68.510002
PG,2012-09-11,68.260002
PG,2012-09-12,68.099998
PG,2012-09-13,68.910004
PG,2012-09-14,69.160004
PG,2012-09-17,69.25
PG,2012-09-18,69.220001
PG,2012-09-19,69.260002
PG,2012-09-20,69.559998
PG,2012-09-21,69.419998
PG,2012-09-24,69.760002
PG,2012-09-25,69.589996
PG,2012-09-26,69.300003
PG,2012-09-27,69.300003
PG,2012-09-28,69.360001
PG,2012-10-01,69.449997
PG,2012-10-02,68.790001
PG,2012-10-03,69.169998
PG,2012-10-04,69.379997
PG,2012-10-05,69.629997
PG,2012-10-08,69.099998
PG,2012-10-09,68.699997
PG,2012-10-10,68.139999
PG,2012-10-11,68.0
PG,2012-10-12,67.940002
PG,2012-10-15,68.709999
PG,2012-10-16,69.0
PG,2012-10-17,69.470001
PG,2012-10-18,69.470001
PG,2012-10-19,68.57
PG,2012-10-22,68.5
PG,2012-10-23,67.440002
PG,2012-10-24,68.080002
PG,2012-10-25,70.07
PG,2012-10-26,69.440002
PG,2012-10-31,69.239998
PG,2012-11-01,69.25
PG,2012-11-02,69.190002
PG,2012-11-05,68.669998
PG,2012-11-06,68.93
PG,2012-11-07,68.059998
PG,2012-11-08,66.910004
PG,2012-11-09,67.010002
PG,2012-11-12,67.080002
PG,2012-11-13,66.849998
PG,2012-11-14,66.529999
PG,2012-11-15,66.32
PG,2012-11-16,66.82
PG,2012-11-19,67.919998
PG,2012-11-20,68.300003
PG,2012-11-21,68.470001
PG,2012-11-23,69.589996
PG,2012-11-26,69.480003
PG,2012-11-27,68.989998
PG,2012-11-28,69.440002
PG,2012-11-29,69.5
PG,2012-11-30,69.830002
PG,2012-12-03,69.580002
PG,2012-12-04,69.309998
PG,2012-12-05,69.410004
PG,2012-12-06,69.949997
PG,2012-12-07,70.290001
PG,2012-12-10,70.220001
PG,2012-12-11,70.660004
PG,2012-12-12,70.760002
PG,2012-12-13,70.129997
PG,2012-12-14,69.93
PG,2012-12-17,69.93
PG,2012-12-18,69.970001
PG,2012-12-19,69.339996
PG,2012-12-20,69.82
PG,2012-12-21,68.720001
PG,2012-12-24,68.519997
PG,2012-12-26,68.0
PG,2012-12-27,67.970001
PG,2012-12-28,67.150002
PG,2012-12-31,67.889999
PG,2013-01-02,69.389999
PG,2013-01-03,68.949997
PG,2013-01-04,69.089996
PG,2013-01-07,68.620003
PG,2013-01-08,68.510002
PG,2013-01-09,68.879997
PG,2013-01-10,69.269997
PG,2013-01-11,69.220001
PG,2013-01-14,69.629997
PG,2013-01-15,69.879997
PG,2013-01-16,69.339996
PG,2013-01-17,69.669998
PG,2013-01-18,69.940002
PG,2013-01-22,69.949997
PG,2013-01-23,70.690002
PG,2013-01-24,70.419998
PG,2013-01-25,73.25
PG,2013-01-28,73.769997
PG,2013-01-29,75.0
PG,2013-01-30,75.080002
PG,2013-01-31,75.160004
PG,2013-02-01,75.919998
PG,2013-02-04,75.25
PG,2013-02-05,75.699997
PG,2013-02-06,76.150002
PG,2013-02-07,76.150002
PG,2013-02-08,75.75
PG,2013-02-11,75.809998
PG,2013-02-12,75.980003
PG,2013-02-13,76.559998
PG,2013-02-14,76.779999
PG,2013-02-15,76.540001
PG,2013-02-19,77.379997
PG,2013-02-20,77.080002
PG,2013-02-21,77.040001
PG,2013-02-22,76.989998
PG,2013-02-25,75.919998
PG,2013-02-26,76.080002
PG,2013-02-27,76.75
PG,2013-02-28,76.18
PG,2013-03-01,76.489998
PG,2013-03-04,76.68
PG,2013-03-05,77.050003
PG,2013-03-06,77.199997
PG,2013-03-07,76.900002
PG,2013-03-08,77.18
PG,2013-03-11,77.349998
PG,2013-03-12,77.169998
PG,2013-03-13,76.800003
PG,2013-03-14,77.389999
PG,2013-03-15,76.339996
PG,2013-03-18,76.160004
PG,2013-03-19,77.110001
PG,2013-03-20,77.580002
PG,2013-03-21,77.209999
PG,2013-03-22,77.269997
PG,2013-03-25,76.68
PG,2013-03-26,77.400002
PG,2013-03-27,77.059998
PG,2013-03-28,77.059998
PG,2013-04-01,77.699997
PG,2013-04-02,78.959999
PG,2013-04-03,78.120003
PG,2013-04-04,78.540001
PG,2013-04-05,78.230003
PG,2013-04-08,78.790001
PG,2013-04-09,78.260002
PG,2013-04-10,79.239998
PG,2013-04-11,79.669998
PG,2013-04-12,80.080002
PG,2013-04-15,79.650002
PG,2013-04-16,80.099998
PG,2013-04-17,79.059998
PG,2013-04-18,79.870003
PG,2013-04-19,81.43
PG,2013-04-22,81.400002
PG,2013-04-23,82.540001
PG,2013-04-24,77.120003
PG,2013-04-25,76.580002
PG,2013-04-26,77.099998
PG,2013-04-29,77.68
PG,2013-04-30,76.769997
PG,2013-05-01,76.989998
PG,2013-05-02,77.760002
PG,2013-05-03,78.190002
PG,2013-05-06,77.75
PG,2013-05-07,77.940002
PG,2013-05-08,78.440002
PG,2013-05-09,78.209999
PG,2013-05-10,78.760002
PG,2013-05-13,78.589996
PG,2013-05-14,79.470001
PG,2013-05-15,80.68
PG,2013-05-16,80.199997
PG,2013-05-17,80.019997
PG,2013-05-20,79.089996
PG,2013-05-21,78.800003
PG,2013-05-22,78.82
PG,2013-05-23,78.699997
PG,2013-05-24,81.879997
PG,2013-05-28,80.860001
PG,2013-05-29,78.900002
PG,2013-05-30,79.089996
PG,2013-05-31,76.760002
PG,2013-06-03,77.660004
PG,2013-06-04,77.370003
PG,2013-06-05,76.660004
PG,2013-06-06,76.82
PG,2013-06-07,77.75
PG,2013-06-10,78.07
PG,2013-06-11,78.120003
PG,2013-06-12,77.599998
PG,2013-06-13,78.43
PG,2013-06-14,78.029999
PG,2013-06-17,78.959999
PG,2013-06-18,79.040001
PG,2013-06-19,77.610001
PG,2013-06-20,75.25
PG,2013-06-21,77.43
PG,2013-06-24,76.580002
PG,2013-06-25,76.690002
PG,2013-06-26,77.400002
PG,2013-06-27,77.669998
PG,2013-06-28,76.989998
PG,2013-07-01,78.019997
PG,2013-07-02,78.440002
PG,2013-07-03,78.57
PG,2013-07-05,78.339996
PG,2013-07-08,78.760002
PG,2013-07-09,79.57
PG,2013-07-10,79.800003
PG,2013-07-11,80.769997
